;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;FGVDADOS - 12/11/2023 11:11:56;;;;;
;;;;;;
LEGENDA;;;;;;
Série;Título;Código;Fonte;Unidade;Fator de escala;Base do No. índice
1;Energia Elétrica, Consumo Industrial Brasil(53778);53778;EPE;GWH;?;--
2;Energia Elétrica, Consumo Industrial Brasil(53778) (Variação Percentual em Relação ao Período Anterior);53778;;;;--
3;Energia Elétrica, Consumo Total Brasil(210873);210873;EPE;GWH;?;--
4;Energia Elétrica, Consumo Total Brasil(210873) (Variação Percentual em Relação ao Período Anterior);210873;;;;--
;;;;;;
05/1988;8409,7;-4,83;15406,9;-5,59;;
06/1988;8685,6;3,28;15787;2,47;;
07/1988; - ; - ; - ; - ;;
08/1988;8817,6; - ;15907,7; - ;;
09/1988; - ; - ; - ; - ;;
10/1988;9025; - ;16375,7; - ;;
11/1988;8619,6;-4,49;15885;-3;;
12/1988;8737,8;1,37;16159;1,72;;
01/1989;8595,9;-1,62;16324,9;1,03;;
02/1989;8476,1;-1,39;16252,1;-0,45;;
03/1989;7861,2;-7,25;15471,8;-4,8;;
04/1989;8582,3;9,17;16494;6,61;;
05/1989;8214,7;-4,28;15816,2;-4,11;;
06/1989;8584,5;4,5;16239,5;2,68;;
07/1989;8914,3;3,84;16611,4;2,29;;
08/1989;9009,9;1,07;16703,8;0,56;;
09/1989;9380;4,11;17469,5;4,58;;
10/1989;8998,1;-4,07;16957,9;-2,93;;
11/1989;9144,7;1,63;17277,7;1,89;;
12/1989;8656,6;-5,34;16654,7;-3,61;;
01/1990;8654;-0,03;17153;2,99;;
02/1990;8919;3,06;17259;0,62;;
03/1990;8490;-4,81;16778;-2,79;;
04/1990;8313;-2,08;16902;0,74;;
05/1990;7460;-10,26;15638;-7,48;;
06/1990;8385;12,4;16585;6,06;;
07/1990;8561;2,1;16365;-1,33;;
08/1990;9072;5,97;17168;4,91;;
09/1990;9536;5,11;17974;4,69;;
10/1990;8932;-6,33;17320;-3,64;;
11/1990;9387;5,09;18189;5,02;;
12/1990;8662;-7,72;17111;-5,93;;
01/1991;7920;-8,57;17040;-0,41;;
02/1991;8394;5,98;17212;1,01;;
03/1991;7838;-6,62;16270;-5,47;;
04/1991;8577;9,43;17282;6,22;;
05/1991;9015;5,11;17798;2,99;;
06/1991;9329;3,48;18103;1,71;;
07/1991;9202;-1,36;17613;-2,71;;
